Author(s),Title,Year,Subject
Petra Gehring,Innen des Außen - Außen des Innen,1994,Phenomenology & Existentialism
Monika Betzler,Ich-Bilder und Bilderwelt,1994,Philosophy
Dietmar Kamper,Unmögliche Gegenwart,1995,Philosophy
Rémi Brague; Tilo Schabert (Editors),Die Macht des Wortes,1996,Philosophy
Käte Meyer-Drawe,Menschen im Spiegel ihrer Maschinen,1996,Philosophy
Friedrich Wilhelm Joseph Schelling (Author); Christian Danz; Klaus Vieweg (Editors),Philosophie der Mythologie in drei Vorlesungsnachschriften 1837/1842,1996,Philosophy
Anselm Haverkamp,Metapher,2007,Linguistics
Ryosuke Ohashi; Robert C. Solomon; Rolf-Peter Horstmann; Michael Forster; Terry Pinkard; Herbert Schnädelbach; Ludwig Siep; Robert B. Brandom; John McDowell; Richard Rorty; Friedhelm Henrich (Authors); Wolfgang Welsch; Klaus Vieweg (Editors),Das Interesse des Denkens. Hegel aus heutiger Sicht,2004,History of Western philosophy
Marcel Mauss (Author); Iris Därmann; Kirsten Mahlke (Editors),Handbuch der Ethnographie,2013,Social & cultural anthropology
Carlies Maria Raddatz-Breidbach; Olaf Breidbach,Bilder des Wissens,2005,Cultural studies
Julia Gelshorn,Aneignung und Wiederholung,2012,Art forms
Uwe Wirth,Die Geburt des Autors aus dem Geist der Herausgeberfiktion,2008,Literary studies: general
Carl Friedrich Gethmann,Vom Bewusstsein zum Handeln,2007,Phenomenology & Existentialism
Bernadette Collenberg-Plotnikov; Annemarie Gethmann-Siefert (Editors),Zwischen Philosophie und Kunstgeschichte,2008,Philosophy: aesthetics
Ashraf Noor (Volume Editor),Walter Benjamin: Moderne und Gesetz,2011,Philosophy
Martin von Koppenfels,Immune Erzähler,2007,"Literary studies: fiction, novelists & prose writers"
Petra Maria Meyer (Volume Editor),acoustic turn,2008,Media studies
Dirk Oschmann,Bewegliche Dichtung,2007,Literary theory
Ulrich Meurer,Topographien,2007,Literary theory
Burkhardt Wolf; Karin Harrasser; Thomas Macho (Editors),Folter,2007,Legal history
Heinz Dieter Kittsteiner,"Weltgeist, Weltmarkt, Weltgericht",2007,Popular philosophy
Monika Kirloskar-Steinbach,Gibt es ein Menschenrecht auf Immigration?,2007,Social & political philosophy
Francesca Iannelli; Francesca Iannelli; Francesca Ianelli,Das Siegel der Moderne,2007,Philosophy: aesthetics
Gabriele Charis Goer; Michael Hofmann; Charis Goer (Editors),Der Deutschen Morgenland,2008,Literary studies: general
Veronika Giglberger,"Trio, Quartett, Quintett",2007,Chamber ensembles
Marcus Krause (Author); Astrid Kusser; Christina Bartz (Editors),Spektakel der Normalisierung,2007,Media studies
Johannes Windrich,TechnoTheater,2007,Theatre studies
Christian Spies,Die Trägheit des Bildes,2008,History of art / art & design styles
Florian Cramer,Exe.cut(up)able statements,2011,Computational linguistics
Martin Zenck; Markus Jüngling (Editors),Erzeugen und Nachvollziehen von Sinn,2011,Science: general issues
Heinz-Dieter Heimann; Roman Czaja; Matthias Wemhoff (Editors),Klosterlandschaften,2008,Medieval history
Werner Faulstich (Volume Editor),Das Zweite Jahrzehnt,2007,Sociology
Sabine Augath,Jan van Eycks 'Ars Mystica',2007,"Individual artists, art monographs"
Barbara Gronau,Theaterinstallationen,2010,History of art / art & design styles
Oliver Baron,Dissonanz als ästhetische Kategorie,2008,Philosophy: aesthetics
Gisela Ecker,Giftige' Gaben,2008,Literary studies: general
Angelika Lozar; Roger Friedlein; João Rodrigues de Sá de Meneses,Die Platane. Liber de platano (1537),2008,Literary studies: general
Volker Gerhardt,Exemplarisches Denken,2008,Ethics & moral philosophy
Daniel Weidner; Sigrid Weigel (Editors),Benjamin-Studien 1,2008,Philosophy: aesthetics
Marc Jongen (Volume Editor),Philosophie des Raumes,2008,Philosophy: aesthetics
Miriam Engelhardt,Deleuze als Methode,2008,Philosophy
Theodore Ziolkowski; Theodore Ziolkowsi,Mythologisierte Gegenwart,2008,Literary studies: general
Ilka Becker,Fotografische Atmosphären,2010,History of art / art & design styles
Margit Gigerl; Anna Fattori (Editors),"Bildersprache, Klangfiguren",2008,Literary studies: general
Peter Friedrich; Manfred Schneider (Editors),Fatale Sprachen,2009,Literature: history & criticism
Jana Koslowski; Peter Koslowski,Ethik der Banken,2009,Ethics & moral philosophy
Felix Philipp Ingold,Die Faszination des Fremden,2009,Social & cultural history
Susanne Scholz; Julika Griem (Volume Editors),Medialisierungen des Unsichtbaren um 1900,2010,Social & cultural history
Jan Georg Schneider; Mareike Buss; Frank Liedtke; Stephan Habscheid; Sabine Jautz (Editors),Theatralität des sprachlichen Handelns,2009,Linguistics
Albert Kümmel-Schnur (Volume Editor),Sympathy for the Devil,2009,Music: styles & genres
Amy Diana Colin; Amy-Diana Colin; Edith Silbermann (Editors),Paul Celan - Edith Silbermann,2010,Literary studies: general
Heiner Mühlmann,Darwin – Kalter Krieg – Weltwirtschaftskrieg,2009,Economic history
Barbara Filser,Chris Marker und die Ungewissheit der Bilder,2010,"Films, cinema"
Ulrich Nortmann; Christoph Wagner (Authors); Ulrich Nortmann; Christoph Wagner (Editors),In Bildern denken?,2010,Theory of art
Wolfram Drews; Heike Schlie (Editors),Zeugnis und Zeugenschaft,2011,History
Wolfgang Gratzer; Otto Neumaier (Editors),Guernica,2010,The arts: general issues
Katharina Sykora,Die Tode der Fotografie I,2009,Photography & photographs
Stephanie Waldow; Cesare Giacobazzi; Moritz Baßler; Christoph Kleinschmidt (Editors),(Be-)Richten und Erzählen,2011,Literary theory
Ludwig Siep,Aktualität und Grenzen der praktischen Philosophie Hegels,2010,Ethics & moral philosophy
Cornelia Ortlieb,Friedrich Heinrich Jacobi und die Philosophie als Schreibart,2010,Literary studies: general
Matthias Bickenbach,Das Autorenfoto in der Medienevolution,2010,Photography & photographs
Hannes Böhringer; Arne Zerbst (Editors),Gestalten des 19. Jahrhunderts,2011,Social & cultural history
Klaus Krüger; Matthias Weiß (Authors); Klaus Krüger; Matthias Weiß; Leena Crasemann (Editors),Um/Ordnungen,2010,Photography & photographs
Tobias Döring; Barbara Vinken; Günter Zöller (Editors),Übertragene Anfänge,2010,Literary studies: general
Gertrud Koch; Christiane Voss; Georg Witte; Anke Hennig (Editors),JETZT UND DANN,2010,Interdisciplinary studies
Oliver Leistert; Maik Bierwirth; Renate Wieser (Editors),Ungeplante Strukturen,2010,Media studies
Kyung-Ho Cha,Humanmimikry,2010,Literary studies: general
Falko Schmieder (Volume Editor),Überleben,2011,Social & cultural history
Juliane Vogel; Thomas Eder (Editors),Lob der Oberfläche,2010,Literary studies: general
Corina Caduff; Anne-Kathrin Reulecke; Ulrike Vedder (Editors),Passionen,2010,Literature: history & criticism
Emmanuel Alloa (Volume Editor),Bildtheorien aus Frankreich,2011,Theory of art
Joachim Küpper; Mirjam Schaub; Regine Strätling; Markus Rautzenberg (Editors),The Beauty of Theory,2013,Philosophy: aesthetics
Thomas Macho,Vorbilder,2011,Philosophy: aesthetics
Reinhard Wendler,Das Modell zwischen Kunst und Wissenschaft,2013,The arts: general issues
Doerte Bischoff,Poetischer Fetischismus,2013,Literary studies: general
Hermann Lübbe,Hermann Lübbe im Gespräch,2010,Philosophy
Marcus Andreas Born,Nihilistisches Geschichtsdenken,2010,Philosophy
Stefan Bodo Würffel; Reto Sorg; Bodo Würffel (Editors),Utopie und Apokalypse in der Moderne,2010,Literary theory
Stefan Willer,Erbfälle,2014,Social & cultural history
Martin Treml; Sabine Flach; Pablo Schneider (Editors),Warburgs Denkraum,2014,The arts: general issues
Ulrich Richtmeyer (Volume Editor),PhantomGesichter,2014,Pattern recognition
Patrick Eiden-Offe,Das Reich der Demokratie,2011,Literary studies: general
Isabel Kranz,Raumgewordene Vergangenheit,2011,History: theory & methods
Carlos Becker; Barbara Becker (Authors); Sebastian Ostermann; Kristin Wenzel (Editors),Taktile Wahrnehmung,2011,Phenomenology & Existentialism
Otto Pöggeler,Wege in schwieriger Zeit,2011,Literary studies: general
Christine Ott,Feinschmecker und Bücherfresser,2011,Literary studies: general
Susanne Holl; Friedrich A. Kittler,Das Nahen der Götter vorbereiten,2012,Theory of music & musicology
Peter Strasser,Was ist Glück?,2011,Popular philosophy
Yohichi Kubo; Christoph Jamme (Editors),Logik und Realität,2012,Philosophy
Gabriele Brandstetter; Stefanie Diekmann; Christopher Wild (Editors),Theaterfeindlichkeit,2012,Theatre studies
Eric Voegelin (Author); Peter J. Opitz (Volume Editor),Luther und Calvin,2011,Christianity
Jan von Brevern,Blicke von Nirgendwo,2012,"Individual artists, art monographs"
Harro Segeberg (Volume Editor),"Film im Zeitalter ""Neuer Medien""",2011,Television production: technical & background skills
Schweizerisches Epilepsie-Zentrum; Martin Kurthen,Weißer und schwarzer Posthumanismus,2011,Psychological theory & schools of thought
Peter Koslowski; Matthias Kettner (Editors),Ökonomisierung und Kommerzialisierung der Gesellschaft,2011,Economic theory & philosophy
Gertrud Lehnert (Volume Editor),Räume der Mode,2012,Fashion & textiles: design
Klaus Düsing,Aufhebung der Tradition im dialektischen Denken,2012,Western philosophy: c 1600 to c 1900
Roger Lüdeke,Zur Schreibkunst von William Blake,2013,Literary studies: general
Ralph Buchenhorst,Das Element des Nachlebens,2011,History
Werner Faulstich,Die Mediengeschichte des 20. Jahrhunderts,2012,Media studies
Norberto Gramaccini; Johannes Rößler (Editors),"Hundert Jahre ""Abstraktion und Einfühlung""",2012,Social & cultural history
Annika Schlitte,Die Macht des Geldes und die Symbolik der Kultur,2012,Philosophy
Ansgar Lorenz; Reiner Ruffing,Theodor W. Adorno,2012,Philosophy
Anna Orlikowski,Merleau-Pontys Weg zur Welt der rohen Wahrnehmung,2012,Philosophy: epistemology & theory of knowledge
Dirk Kemper,Heinrich Mann und Walter Ulbricht: Das Scheitern der Volksfront,2012,Literary studies: general
Hubert Thüring,Das neue Leben,2012,Literature: history & criticism
Wim Peeters,Recht auf Geschwätz,2019,Literary theory
Stephan Kossmann,Die Stimme des Souveräns und die Schrift des Gesetzes,2012,Literary studies: general
Christian Reidenbach; Katharina Münchberg (Editors),Freundschaft,2012,Ethics & moral philosophy
Olga Moskatova; Sandra Beate Reimann; Kathrin Schönegg (Editors),Jenseits der Repräsentation,2013,History of art / art & design styles
Julia Amslinger,Eine neue Form von Akademie,2017,History
Maik Bierwirth; Mirna Zeman; Anja K. Johannsen (Volume Editors),Doing Contemporary Literature,2012,Literature: history & criticism
Markus Messling; Ottmar Ette (Editors),Wort Macht Stamm,2013,Sociolinguistics
Dirk Kemper; Natalia Bakshi; Iris Bäcker (Editors),Religiöse Thematiken in den deutschsprachigen Literaturen der Nachkriegszeit (1945-1955),2013,Literary studies: general
Eckhard Lobsien,Schematisierte Ansichten,2012,Literary theory
Heiner Mühlmann,Europa im Weltwirtschaftskrieg,2013,Economic theory & philosophy
Anne-Kathrin Reulecke,"Täuschend, ähnlich",2016,History of science
Ute Frietsch,Häresie und Wissenschaft,2013,"Magic, alchemy & hermetic thought"
Gerhard M. Buurman; Stephan Trüby (Editors),Geldkulturen,2014,Economic theory & philosophy
Hans Adler; Lynn Wolff; Lynn L. Wolff (Editors),Aisthesis und Noesis,2013,Literary theory
Harald Gschwandtner,Ekstatisches Erleben,2013,Literary studies: general
Jochen Hörisch,Man muss dran glauben,2013,Economic theory & philosophy
Norbert Ricken; Andreas Gelhard; Thomas Alkemeyer (Editors),Techniken der Subjektivierung,2013,Philosophy
Jörn Glasenapp,Abschied vom Aktionsbild,2013,Film theory & criticism
Martin Zenck; Elisabeth Oy-Marra; Klaus Pietschmann; Gregor Wedekind (Editors),Intermedialität von Bild und Musik,2018,Social & cultural history
Götz Grossklaus; Götz Großklaus,Heinrich Heine - Der Dichter der Modernität,2013,"Literary studies: fiction, novelists & prose writers"
Ralf Simon,Die Idee der Prosa,2013,Literary theory
Stephan Müller; Katharina Philipowski; Kay Malcher; Antje Sablotny (Editors),Fragmentarität als Problem der Kultur- und Textwissenschaften,2013,Cultural studies
Aage Ansgar Hansen-Löve; Lars Schneider; Michael Ott; Aage A. Hansen-Löve (Editors),Natalität,2014,Literary studies: general
Marlen Jank,Der homme machine des 21. Jahrhunderts,2014,Western philosophy: Enlightenment
Grazyna Jurewicz; Kristina-Monika Hinneburg (Editors),Das Prinzip Aufklärung zwischen Universalismus und partikularem Anspruch,2014,Western philosophy: Enlightenment
Peter Szendy,Höre(n),2015,Music
Stefanie Kreuzer,"Traum und Erzählen in Literatur, Film und Kunst",2014,Literary studies: general
Iris Bäcker,Der Akt des Lesens - neu gelesen,2014,Literary theory
Eckart Schütrumpf,The earliest translations of Aristotle's Politics and the creation of political terminology,2014,Political science & theory
Bernd Stiegler; Felix Thürlemann; Michael Hagner (Editors),Charles Nègre,2014,Photography & photographs
Peter Strasser,Diktatur des Gehirns,2014,Philosophy of mind
Gerhard Poppenberg; Dana Poppenberg,Martin Scorsese,2018,"Individual film directors, film-makers"
Gerhard Kaiser; Torsten Hoffmann (Editors),Echt inszeniert,2014,Literature: history & criticism
Stephanie Waldow (Volume Editor),Von armen Schweinen und bunten Vögeln,2015,Social & cultural history
Jörg Bernardy,Warum Macht produktiv ist,2014,Social & political philosophy
Johannes Grave,Architekturen des Sehens,2015,History of art / art & design styles
Rolf Lohse,Renaissancedrama und humanistische Poetik in Italien,2015,Theatre studies
Hartmut Zinser,Religion und Krieg,2015,Religion & politics
Inge Hinterwaldner; Sabine Ammon (Editors),Bildlichkeit im Zeitalter der Modellierung,2017,Architectural structure & design
Christiane Frey,Laune,2016,Philosophy
Sarah Dornhof,Alternierende Blicke auf Islam und Europa,2016,Islam
Lars Nowak (Author); Lars Nowak (Volume Editor),Medien – Krieg – Raum,2018,Communication studies
Petra Kindhäuser; Petra Weber (Editors),Die Wiener Klassiker und das Italien ihrer Zeit,2015,History: specific events & topics
Isabel Kranz (Volume Editor),Was wäre wenn?,2017,"Social forecasting, future studies"
Nils Baratella,Das kämpferische Subjekt,2015,Philosophy
Tobias Janz; Friedrich Geiger (Editors),Carl Dahlhaus' Grundlagen der Musikgeschichte,2016,Music
Vinzenz Hediger; Rembert Hüser (Editors),Jean-Luc Godard,,Film theory & criticism
Martin Stingelin; Ludger Hoffmann (Editors),Schreiben,2018,Literary theory
Christian Köhler; Julius Othmer; Matthias Koch; Andreas Weich (Editors),Planlos!,2015,Cultural studies
Charlotte Bretschneider,Montaignes exemplarische Ethik,2015,Ethics & moral philosophy
Iris Därmann; Thomas Macho (Editors),Unter die Haut,2017,Social & cultural history
Holger Kuhn,Die leibhaftige Münze,2015,Painting & paintings
Pauline Bachmann; Melanie Klein; Tomoko Mamine; Georg Vasold (Editors),Art/Histories in Transcultural Dynamics,2017,Social & cultural history
Christiane Wohlrab,Non-finito als Topos der Moderne,2016,Sculpture
Alexander Schwan; Isabel Kranz; Eike Wittrock (Editors),Floriographie,2016,Cultural studies
Andreas Gehrlach,Diebe,2016,Social & cultural history
Felicia Rappe,Gegenwartskunst und Oper,2016,Theory of art
Sylwia Werner; Bernd Stiegler (Editors),Laboratorien der Moderne,2016,Social & cultural history
Mirjam Lewandowsky,Im Hinterhof des Realen,2016,Theory of art
Martin Bondeli; Klaus Vieweg; Jiri Chotas; Jirí Chotaš (Editors),Krankheit des Zeitalters oder heilsame Provokation?,2016,Philosophy
Felix Thürlemann,Das Haremsfenster,2016,Photography & photographs
Greil Marcus,"Three Songs, three Singers, three Nations",2016,Folk & traditional music
Adam Czirak; Barbara Gronau; Sebastian Köthe (Editors),Gewaltsames Wissen,,Theory of art
Johanna Bücker,Das Meer und der andere Zustand,2016,"Literary studies: fiction, novelists & prose writers"
Hanna Engelmeier; Friedrich Balke,Mimesis und Figura,2016,Literary theory
Karen Gloy,Denkformen und ihre kulturkonstitutive Rolle,2016,Cultural studies
Claudia Benthien; Gabriele Klein (Editors),Übersetzen und Rahmen,2017,Media studies
Corina Erk,De-/Konstruktionen der RAF im Post-2000-Kino,2017,Film theory & criticism
Achim Geisenhanslüke,Trauer-Spiele,2016,Literary studies: general
Daniel Weidner; Caroline Sauter; Yael Almog (Editors),Kommentar und Säkularisierung in der Moderne,2017,Cultural studies
